transaction_id,partner_batch_id,account_id,transaction_date,posted_date,transaction_type,amount,currency,status,merchant_name,related_transaction_id,source_system
TXN-00001345,BATCH-2026-08-17,ACCT-004077,2026-08-16,2026-08-16,transfer,50.85,USD,completed,Stark Utilities,,ACH-BATCH
TXN-00000361,BATCH-2026-08-17,ACCT-003314,2026-08-17,2026-08-19,purchase,18.92,USD,completed,Wayne Hardware,,ONLINE-CHECKOUT
TXN-00001958,BATCH-2026-08-17,ACCT-001409,2026-08-16,2026-08-17,transfer,45.73,EUR,completed,Northwind Traders,,ONLINE-CHECKOUT
TXN-00001984,BATCH-2026-08-17,ACCT-003315,2026-08-17,2026-08-17,transfer,47.86,USD,completed,Stark Utilities,,POS-EAST
TXN-00001151,BATCH-2026-08-17,ACCT-004052,2026-08-16,2026-08-16,transfer,36.52,USD,completed,Hooli Cloud,,ACH-BATCH
TXN-00000884,BATCH-2026-08-17,ACCT-004915,2026-08-17,2026-08-17,purchase,8.52,USD,pending,Umbrella Logistics,,ONLINE-CHECKOUT
TXN-00000831,BATCH-2026-08-17,ACCT-000423,2026-08-17,2026-08-17,purchase,16.51,USD,completed,Pied Piper Software,,POS-WEST
TXN-00000705,BATCH-2026-08-17,ACCT-004204,2026-08-16,2026-08-16,purchase,6.15,USD,completed,Pied Piper Software,,ONLINE-CHECKOUT
TXN-00001254,BATCH-2026-08-17,ACCT-000446,2026-08-17,2026-08-18,purchase,52.88,USD,completed,Pied Piper Software,,POS-WEST
TXN-00001182,BATCH-2026-08-17,ACCT-002506,2026-08-16,2026-08-16,purchase,31.26,USD,completed,Stark Utilities,,ONLINE-CHECKOUT
TXN-00000337,BATCH-2026-08-17,ACCT-002279,2026-08-16,2026-08-17,purchase,24.12,USD,pending,Northwind Traders,,POS-WEST
TXN-00000376,BATCH-2026-08-17,ACCT-001425,2026-08-16,2026-08-17,fee,11.00,USD,completed,Wayne Hardware,,ACH-BATCH
TXN-00001320,BATCH-2026-08-17,ACCT-001146,2026-08-17,2026-08-17,purchase,43.76,USD,completed,Pied Piper Software,,ONLINE-CHECKOUT
TXN-00001187,BATCH-2026-08-17,ACCT-003353,2026-08-16,2026-08-17,purchase,381.63,USD,completed,Hooli Cloud,,POS-EAST
TXN-00001804,BATCH-2026-08-17,ACCT-001427,2026-08-17,2026-08-18,purchase,28.09,USD,completed,Stark Utilities,,ACH-BATCH
TXN-00001351,BATCH-2026-08-17,ACCT-001892,2026-08-17,2026-08-17,purchase,125.74,USD,completed,Umbrella Logistics,,POS-WEST
TXN-00000708,BATCH-2026-08-17,ACCT-002750,2026-08-16,2026-08-16,purchase,13.22,USD,completed,Acme Wholesale,,ONLINE-CHECKOUT
TXN-00001143,BATCH-2026-08-17,ACCT-004349,2026-08-17,2026-08-18,purchase,18.62,USD,completed,Fabrikam Supply,,ONLINE-CHECKOUT
TXN-00001435,BATCH-2026-08-17,ACCT-001017,2026-08-17,2026-08-17,refund,-7.01,USD,completed,Northwind Traders,TXN-00001180,POS-EAST
TXN-00001730,BATCH-2026-08-17,ACCT-002299,2026-08-16,2026-08-17,purchase,101.81,EUR,completed,Wayne Hardware,,POS-EAST
TXN-00001593,BATCH-2026-08-17,ACCT-004504,2026-08-17,2026-08-17,purchase,4.53,USD,completed,Stark Utilities,,POS-EAST
TXN-00001965,BATCH-2026-08-17,ACCT-000712,2026-08-17,2026-08-17,purchase,13.71,USD,completed,Acme Wholesale,,POS-WEST
TXN-00001343,BATCH-2026-08-17,ACCT-002726,2026-08-17,2026-08-17,purchase,39.62,USD,completed,Hooli Cloud,,ONLINE-CHECKOUT
TXN-00000596,BATCH-2026-08-17,ACCT-000270,2026-08-17,2026-08-17,adjustment,15.50,USD,completed,Fabrikam Supply,,ONLINE-CHECKOUT
TXN-00001034,BATCH-2026-08-17,ACCT-002073,2026-08-16,2026-08-16,transfer,12.60,USD,completed,Initech Services,,POS-EAST
TXN-00001908,BATCH-2026-08-17,ACCT-004409,2026-08-16,2026-08-17,purchase,68.45,EUR,completed,Globex Corp,,POS-WEST
TXN-00000171,BATCH-2026-08-17,ACCT-004572,2026-08-16,2026-08-17,purchase,13.06,CAD,completed,Initech Services,,POS-WEST
TXN-00000852,BATCH-2026-08-17,ACCT-004540,2026-08-17,2026-08-17,purchase,230.36,USD,completed,Hooli Cloud,,ONLINE-CHECKOUT
TXN-00001005,BATCH-2026-08-17,ACCT-003266,2026-08-16,2026-08-16,transfer,15.45,USD,completed,Initech Services,,POS-EAST
TXN-00001945,BATCH-2026-08-17,ACCT-001889,2026-08-16,2026-08-16,purchase,35.97,CAD,completed,Contoso Retail,,POS-WEST
TXN-00001990,BATCH-2026-08-17,ACCT-000984,2026-08-17,2026-08-18,adjustment,30.63,USD,completed,Wonka Confections,,POS-WEST
TXN-00001896,BATCH-2026-08-17,ACCT-000860,2026-08-16,2026-08-17,refund,-26.81,USD,completed,Pied Piper Software,TXN-00000173,ACH-BATCH
TXN-00001670,BATCH-2026-08-17,ACCT-001530,2026-08-17,2026-08-18,purchase,13.13,USD,completed,Umbrella Logistics,,POS-EAST
TXN-00001137,BATCH-2026-08-17,ACCT-003251,2026-08-17,2026-08-19,refund,-48.40,USD,completed,Umbrella Logistics,TXN-00000002,POS-EAST
TXN-00000477,BATCH-2026-08-17,ACCT-002445,2026-08-17,2026-08-18,purchase,120.51,USD,completed,Umbrella Logistics,,POS-EAST
TXN-00000848,BATCH-2026-08-17,ACCT-000458,2026-08-17,2026-08-17,purchase,2.44,USD,completed,Hooli Cloud,,POS-WEST
TXN-00000259,BATCH-2026-08-17,ACCT-004724,2026-08-17,2026-08-18,purchase,-16.84,USD,completed,Pied Piper Software,,POS-EAST
TXN-00001761,BATCH-2026-08-17,ACCT-003567,2026-08-16,2026-08-17,transfer,135.47,USD,completed,Hooli Cloud,,POS-WEST
TXN-00001302,BATCH-2026-08-17,ACCT-003140,2026-08-17,2026-08-17,adjustment,-17.07,USD,completed,Globex Corp,,POS-EAST
TXN-00000759,BATCH-2026-08-17,ACCT-000232,2026-08-17,2026-08-17,purchase,67.97,USD,pending,Hooli Cloud,,POS-WEST
TXN-00001328,BATCH-2026-08-17,ACCT-001090,2026-08-16,2026-08-16,refund,-8.89,USD,completed,Globex Corp,TXN-00001002,ACH-BATCH
TXN-00001996,BATCH-2026-08-17,ACCT-004113,2026-08-17,2026-08-17,refund,-27.17,USD,completed,Northwind Traders,TXN-00001390,ACH-BATCH
TXN-00001926,BATCH-2026-08-17,ACCT-001977,2026-08-16,2026-08-16,purchase,65.01,USD,completed,Wonka Confections,,ONLINE-CHECKOUT
TXN-00000152,BATCH-2026-08-17,ACCT-004816,2026-08-16,2026-08-16,purchase,76.12,USD,completed,Fabrikam Supply,,POS-WEST
TXN-00001859,BATCH-2026-08-17,ACCT-004647,2026-08-17,2026-08-17,purchase,23.62,EUR,completed,Fabrikam Supply,,POS-EAST
TXN-00000115,BATCH-2026-08-17,ACCT-003422,2026-08-17,2026-08-18,transfer,-32.27,USD,completed,Initech Services,,POS-EAST
TXN-00001125,BATCH-2026-08-17,ACCT-000133,2026-08-16,2026-08-16,purchase,31.34,USD,completed,Northwind Traders,,ACH-BATCH
TXN-00000076,BATCH-2026-08-17,ACCT-003869,2026-08-16,2026-08-16,purchase,2.95,CAD,completed,Globex Corp,,ACH-BATCH
TXN-00001547,BATCH-2026-08-17,ACCT-001474,2026-08-16,2026-08-16,refund,-110.22,USD,completed,Globex Corp,TXN-00000457,ACH-BATCH
TXN-00001574,BATCH-2026-08-17,ACCT-003181,2026-08-17,2026-08-17,refund,-3.70,USD,completed,Northwind Traders,TXN-00000533,POS-EAST
TXN-00001626,BATCH-2026-08-17,ACCT-001498,2026-08-17,2026-08-17,purchase,20.08,USD,completed,Hooli Cloud,,POS-EAST
TXN-00000764,BATCH-2026-08-17,ACCT-001742,2026-08-17,2026-08-17,purchase,6.11,USD,completed,Fabrikam Supply,,POS-WEST
TXN-00000209,BATCH-2026-08-17,ACCT-003263,2026-08-16,2026-08-16,transfer,-14.46,USD,completed,Contoso Retail,,ONLINE-CHECKOUT
TXN-00000508,BATCH-2026-08-17,ACCT-003687,2026-08-16,2026-08-17,purchase,21.71,USD,unknown_status_2,Wayne Hardware,,ONLINE-CHECKOUT
TXN-00000098,BATCH-2026-08-17,ACCT-001909,2026-08-17,2026-08-18,purchase,30.03,USD,completed,Umbrella Logistics,,POS-WEST
TXN-00000256,BATCH-2026-08-17,ACCT-000542,2026-08-16,2026-08-16,purchase,12.85,USD,completed,Initech Services,,ACH-BATCH
TXN-00001461,BATCH-2026-08-17,ACCT-003512,2026-08-17,2026-08-17,purchase,48.80,USD,completed,Wayne Hardware,,POS-EAST
TXN-00000872,BATCH-2026-08-17,ACCT-002862,2026-08-16,2026-08-16,purchase,39.17,CAD,completed,Wayne Hardware,,ACH-BATCH
TXN-00001611,BATCH-2026-08-17,ACCT-004735,2026-08-17,2026-08-17,purchase,40.21,USD,completed,Fabrikam Supply,,POS-WEST
TXN-00000805,BATCH-2026-08-17,ACCT-004713,2026-08-17,2026-08-18,adjustment,10.38,USD,completed,Northwind Traders,,POS-EAST
TXN-00000736,BATCH-2026-08-17,ACCT-002071,2026-08-17,2026-08-19,transfer,45.18,USD,completed,Globex Corp,,POS-EAST
TXN-00000869,BATCH-2026-08-17,ACCT-001749,2026-08-16,2026-08-16,purchase,9.00,USD,completed,Umbrella Logistics,,POS-EAST
TXN-00001847,BATCH-2026-08-17,ACCT-000246,2026-08-17,2026-08-17,purchase,21.38,USD,completed,Northwind Traders,,POS-EAST
TXN-00000828,BATCH-2026-08-17,ACCT-003257,2026-08-17,2026-08-18,purchase,77.79,USD,completed,Stark Utilities,,POS-EAST
TXN-00000728,BATCH-2026-08-17,ACCT-003699,2026-08-16,2026-08-16,fee,6.03,USD,completed,Pied Piper Software,,ONLINE-CHECKOUT
TXN-00000801,BATCH-2026-08-17,ACCT-001399,2026-08-16,2026-08-16,purchase,122.03,USD,completed,Umbrella Logistics,,ACH-BATCH
TXN-00000576,BATCH-2026-08-17,ACCT-004713,2026-08-16,2026-08-18,purchase,53.73,CAD,completed,Northwind Traders,,ONLINE-CHECKOUT
TXN-00000992,BATCH-2026-08-17,ACCT-001174,2026-08-16,2026-08-16,purchase,11.73,USD,completed,Northwind Traders,,POS-WEST
TXN-00001866,BATCH-2026-08-17,ACCT-000416,2026-08-16,2026-08-16,purchase,14.96,EUR,reversed,Northwind Traders,,ONLINE-CHECKOUT
TXN-00000706,BATCH-2026-08-17,ACCT-000067,2026-08-17,2026-08-17,purchase,30.72,USD,completed,Wonka Confections,,POS-WEST
TXN-00000557,BATCH-2026-08-17,ACCT-003920,2026-08-17,2026-08-17,purchase,14.10,USD,completed,Hooli Cloud,,POS-WEST
TXN-00000568,BATCH-2026-08-17,ACCT-001599,2026-08-16,2026-08-16,purchase,12.38,USD,completed,Acme Wholesale,,POS-WEST
TXN-00001502,BATCH-2026-08-17,ACCT-002484,2026-08-16,2026-08-17,refund,-44.05,EUR,completed,Globex Corp,TXN-00001198,POS-WEST
TXN-00000305,BATCH-2026-08-17,ACCT-000473,2026-08-17,2026-08-17,purchase,50.64,CAD,completed,Globex Corp,,POS-EAST
TXN-00001293,BATCH-2026-08-17,ACCT-002510,2026-08-16,2026-08-18,purchase,28.69,CAD,completed,Globex Corp,,ONLINE-CHECKOUT
TXN-00000360,BATCH-2026-08-17,ACCT-000717,2026-08-16,2026-08-17,transfer,9.13,USD,completed,Contoso Retail,,POS-EAST
TXN-00001366,BATCH-2026-08-17,ACCT-002457,2026-08-16,2026-08-17,adjustment,77.72,EUR,completed,Wayne Hardware,,POS-EAST
TXN-00001944,BATCH-2026-08-17,ACCT-002012,2026-08-16,2026-08-17,purchase,14.03,USD,completed,Globex Corp,,POS-WEST
TXN-00001327,BATCH-2026-08-17,ACCT-002189,2026-08-16,2026-08-17,fee,17.56,USD,completed,Fabrikam Supply,,POS-WEST
TXN-00000297,BATCH-2026-08-17,ACCT-000986,2026-08-17,2026-08-17,purchase,50.49,CAD,completed,Stark Utilities,,POS-WEST
TXN-00000691,BATCH-2026-08-17,ACCT-001012,2026-08-17,2026-08-18,refund,-59.12,USD,completed,Umbrella Logistics,TXN-00000744,ACH-BATCH
TXN-00000709,BATCH-2026-08-17,ACCT-001887,2026-08-17,2026-08-17,purchase,147.67,USD,completed,Stark Utilities,,POS-WEST
TXN-00001746,BATCH-2026-08-17,ACCT-004568,2026-08-16,2026-08-18,purchase,40.91,USD,completed,Stark Utilities,,POS-WEST
TXN-00001158,BATCH-2026-08-17,ACCT-004410,2026-08-17,2026-08-18,refund,-56.07,USD,completed,Hooli Cloud,TXN-00000672,POS-WEST
TXN-00001539,BATCH-2026-08-17,ACCT-000403,2026-08-16,2026-08-18,purchase,8.55,USD,completed,Stark Utilities,,ACH-BATCH
TXN-00000897,BATCH-2026-08-17,ACCT-003517,2026-08-16,2026-08-17,purchase,39.78,USD,completed,Globex Corp,,ONLINE-CHECKOUT
TXN-00000188,BATCH-2026-08-17,ACCT-002849,2026-08-17,2026-08-18,purchase,42.19,USD,pending,Contoso Retail,,POS-WEST
TXN-00001702,BATCH-2026-08-17,ACCT-002804,2026-08-16,2026-08-18,adjustment,-16.63,USD,completed,Umbrella Logistics,,ACH-BATCH
TXN-00001241,BATCH-2026-08-17,ACCT-000090,2026-08-16,2026-08-16,purchase,12.94,CAD,completed,Initech Services,,ONLINE-CHECKOUT
TXN-00001356,BATCH-2026-08-17,ACCT-004443,2026-08-17,2026-08-17,purchase,43.62,USD,pending,Hooli Cloud,,POS-EAST
TXN-00001530,BATCH-2026-08-17,ACCT-001635,2026-08-17,2026-08-17,purchase,97.48,USD,completed,Wayne Hardware,,POS-WEST
TXN-00001792,BATCH-2026-08-17,ACCT-001033,2026-08-16,2026-08-16,adjustment,-73.11,CAD,completed,Contoso Retail,,ONLINE-CHECKOUT
TXN-00001703,BATCH-2026-08-17,ACCT-004483,2026-08-16,2026-08-16,purchase,12.73,USD,completed,Stark Utilities,,ONLINE-CHECKOUT
TXN-00001646,BATCH-2026-08-17,ACCT-004609,2026-08-17,2026-08-17,purchase,81.72,USD,completed,Wonka Confections,,ACH-BATCH
TXN-00001193,BATCH-2026-08-17,ACCT-001724,2026-08-17,2026-08-18,purchase,30.55,USD,completed,Hooli Cloud,,ONLINE-CHECKOUT
TXN-00000201,BATCH-2026-08-17,ACCT-004668,2026-08-16,2026-08-16,purchase,13.34,USD,completed,Globex Corp,,ACH-BATCH
TXN-00001841,BATCH-2026-08-17,ACCT-003955,2026-08-17,2026-08-18,purchase,31.04,USD,completed,Hooli Cloud,,ONLINE-CHECKOUT
TXN-00001243,BATCH-2026-08-17,ACCT-004969,2026-08-17,2026-08-19,purchase,22.54,USD,completed,Stark Utilities,,ONLINE-CHECKOUT
TXN-00001091,BATCH-2026-08-17,ACCT-004167,2026-08-16,2026-08-16,purchase,7.50,CAD,completed,Hooli Cloud,,ACH-BATCH
TXN-00001349,BATCH-2026-08-17,ACCT-004137,2026-08-16,2026-08-17,refund,4.48,USD,failed,Initech Services,TXN-00000837,ACH-BATCH
TXN-00001060,BATCH-2026-08-17,ACCT-004945,2026-08-17,2026-08-17,purchase,8.86,USD,completed,Stark Utilities,,ONLINE-CHECKOUT
TXN-00001049,BATCH-2026-08-17,ACCT-003058,2026-08-16,2026-08-17,refund,-23.24,USD,completed,Acme Wholesale,TXN-00000022,ONLINE-CHECKOUT
TXN-00000357,BATCH-2026-08-17,ACCT-001998,2026-08-16,2026-08-18,purchase,10.19,EUR,completed,Northwind Traders,,ONLINE-CHECKOUT
TXN-00001789,BATCH-2026-08-17,ACCT-003931,2026-08-16,2026-08-16,fee,30.44,CAD,completed,Hooli Cloud,,POS-EAST
TXN-00000128,BATCH-2026-08-17,ACCT-001946,2026-08-17,2026-08-18,purchase,8.10,USD,completed,Stark Utilities,,ONLINE-CHECKOUT
TXN-00000977,BATCH-2026-08-17,ACCT-004152,2026-08-17,2026-08-17,purchase,32.87,USD,completed,Stark Utilities,,ONLINE-CHECKOUT
TXN-00001809,BATCH-2026-08-17,ACCT-004540,2026-08-17,2026-08-18,purchase,6.82,USD,completed,Umbrella Logistics,,ACH-BATCH
TXN-00000813,BATCH-2026-08-17,ACCT-004395,2026-08-16,2026-08-16,purchase,3.52,USD,completed,Initech Services,,POS-EAST
TXN-00001185,BATCH-2026-08-17,ACCT-001668,2026-08-17,2026-08-17,purchase,34.94,USD,completed,Stark Utilities,,POS-WEST
TXN-00001367,BATCH-2026-08-17,ACCT-000821,2026-08-17,2026-08-18,purchase,131.29,USD,completed,Umbrella Logistics,,POS-EAST
TXN-00001577,BATCH-2026-08-17,ACCT-001875,2026-08-17,2026-08-19,purchase,5.68,USD,completed,Hooli Cloud,,ACH-BATCH
TXN-00000178,BATCH-2026-08-17,ACCT-001100,2026-08-16,2026-08-17,refund,-28.00,USD,completed,Wonka Confections,TXN-00001073,ACH-BATCH
TXN-00001630,BATCH-2026-08-17,ACCT-000678,2026-08-16,2026-08-17,transfer,11.22,CAD,completed,Pied Piper Software,,POS-WEST
TXN-00001006,BATCH-2026-08-17,ACCT-001365,2026-08-17,2026-08-17,purchase,17.71,USD,completed,Wonka Confections,,POS-WEST
TXN-00000276,BATCH-2026-08-17,ACCT-004308,2026-08-17,2026-08-17,purchase,12.19,USD,completed,Globex Corp,,POS-EAST
TXN-00000267,BATCH-2026-08-17,ACCT-003564,2026-08-16,2026-08-17,refund,-5.37,CAD,completed,Pied Piper Software,TXN-00001592,POS-WEST
TXN-00000754,BATCH-2026-08-17,ACCT-001375,2026-08-16,2026-08-16,purchase,0.00,USD,failed,Stark Utilities,,ACH-BATCH
TXN-00000719,BATCH-2026-08-17,ACCT-003065,2026-08-16,2026-08-17,purchase,135.42,USD,completed,Initech Services,,POS-EAST
TXN-00001503,BATCH-2026-08-17,ACCT-002624,2026-08-17,2026-08-18,purchase,80.99,USD,completed,Wonka Confections,,ONLINE-CHECKOUT
TXN-00000614,BATCH-2026-08-17,ACCT-000926,2026-08-16,2026-08-16,purchase,29.14,EUR,completed,Umbrella Logistics,,ACH-BATCH
TXN-00000634,BATCH-2026-08-17,ACCT-000630,2026-08-17,2026-08-17,purchase,29.59,USD,completed,Globex Corp,,ACH-BATCH
TXN-00001009,BATCH-2026-08-17,ACCT-000296,2026-08-16,2026-08-16,transfer,-4.73,USD,completed,Northwind Traders,,POS-EAST
TXN-00000514,BATCH-2026-08-17,ACCT-000676,2026-08-16,2026-08-17,purchase,32.11,USD,completed,Fabrikam Supply,,POS-EAST
TXN-00001563,BATCH-2026-08-17,ACCT-003085,2026-08-17,2026-08-18,purchase,254.50,USD,completed,Initech Services,,ACH-BATCH
TXN-00001363,BATCH-2026-08-17,ACCT-002582,2026-08-17,2026-08-19,purchase,10.99,USD,completed,Stark Utilities,,POS-EAST
TXN-00001968,BATCH-2026-08-17,ACCT-003487,2026-08-17,2026-08-17,purchase,19.84,USD,completed,Pied Piper Software,,POS-WEST
TXN-00000313,BATCH-2026-08-17,ACCT-004075,2026-08-16,2026-08-17,purchase,66.77,USD,completed,Initech Services,,ONLINE-CHECKOUT
TXN-00000220,BATCH-2026-08-17,ACCT-003219,2026-08-16,2026-08-18,adjustment,0.00,USD,failed,Umbrella Logistics,,POS-EAST
TXN-00000600,BATCH-2026-08-17,ACCT-000537,2026-08-17,2026-08-17,fee,43.00,USD,completed,Initech Services,,POS-EAST
TXN-00001515,BATCH-2026-08-17,ACCT-004335,2026-08-17,2026-08-17,purchase,9.56,USD,completed,Stark Utilities,,POS-WEST
TXN-00001606,BATCH-2026-08-17,ACCT-004277,2026-08-17,2026-08-17,purchase,5.76,USD,completed,Acme Wholesale,,POS-WEST
TXN-00000393,BATCH-2026-08-17,ACCT-001898,2026-08-16,2026-08-16,purchase,60.08,USD,completed,Acme Wholesale,,POS-WEST
TXN-00000685,BATCH-2026-08-17,ACCT-001378,2026-08-17,2026-08-18,purchase,7.38,USD,completed,Globex Corp,,ACH-BATCH
TXN-00001252,BATCH-2026-08-17,ACCT-000977,2026-08-16,2026-08-16,purchase,0.00,USD,completed,Pied Piper Software,,ONLINE-CHECKOUT
TXN-00000227,BATCH-2026-08-17,ACCT-000943,2026-08-16,2026-08-16,purchase,4.83,USD,completed,Northwind Traders,,ONLINE-CHECKOUT
TXN-00001898,BATCH-2026-08-17,ACCT-000078,2026-08-16,2026-08-17,purchase,16.18,EUR,completed,Pied Piper Software,,POS-EAST
TXN-00001030,BATCH-2026-08-17,ACCT-004960,2026-08-16,2026-08-17,purchase,18.06,USD,completed,Globex Corp,,POS-WEST
TXN-00001229,BATCH-2026-08-17,ACCT-001224,2026-08-16,2026-08-18,purchase,5.99,USD,completed,Wayne Hardware,,ONLINE-CHECKOUT
TXN-00001971,BATCH-2026-08-17,ACCT-000260,2026-08-16,2026-08-16,purchase,5.40,USD,completed,Wayne Hardware,,POS-WEST
TXN-00001460,BATCH-2026-08-17,ACCT-002609,2026-08-17,2026-08-18,purchase,47.14,USD,completed,Wayne Hardware,,POS-EAST
TXN-00001124,BATCH-2026-08-17,ACCT-004955,2026-08-17,2026-08-18,purchase,7.79,USD,completed,Umbrella Logistics,,ONLINE-CHECKOUT
TXN-00001708,BATCH-2026-08-17,ACCT-000945,2026-08-17,2026-08-19,purchase,38.20,USD,completed,Acme Wholesale,,POS-EAST
TXN-00000405,BATCH-2026-08-17,ACCT-003050,2026-08-16,2026-08-16,purchase,20.04,USD,completed,Umbrella Logistics,,ACH-BATCH
TXN-00000465,BATCH-2026-08-17,ACCT-001892,2026-08-16,2026-08-17,purchase,-37.71,USD,completed,Pied Piper Software,,POS-EAST
TXN-00000505,BATCH-2026-08-17,ACCT-002607,2026-08-16,2026-08-16,purchase,18.97,USD,completed,Hooli Cloud,,ACH-BATCH
TXN-00001473,BATCH-2026-08-17,ACCT-003197,2026-08-16,2026-08-17,purchase,165.70,USD,completed,Wayne Hardware,,ONLINE-CHECKOUT
TXN-00001833,BATCH-2026-08-17,ACCT-002621,2026-08-16,2026-08-18,purchase,26.05,USD,completed,Umbrella Logistics,,POS-EAST
TXN-00000292,BATCH-2026-08-17,ACCT-002413,2026-08-16,2026-08-16,purchase,16.85,USD,completed,Pied Piper Software,,ACH-BATCH
TXN-00001156,BATCH-2026-08-17,ACCT-002077,2026-08-16,2026-08-17,adjustment,137.05,USD,completed,Umbrella Logistics,,ONLINE-CHECKOUT
TXN-00001858,BATCH-2026-08-17,ACCT-000194,2026-08-17,2026-08-17,purchase,12.74,EUR,completed,Wonka Confections,,POS-WEST
TXN-00000468,BATCH-2026-08-17,ACCT-004981,2026-08-16,2026-08-17,purchase,0.00,USD,failed,Hooli Cloud,,ACH-BATCH
TXN-00001543,BATCH-2026-08-17,ACCT-004683,2026-08-17,2026-08-17,purchase,76.92,CAD,pending,Wonka Confections,,ACH-BATCH
TXN-00001729,BATCH-2026-08-17,ACCT-003247,2026-08-17,2026-08-18,purchase,43.21,USD,completed,Wonka Confections,,POS-EAST
TXN-00000252,BATCH-2026-08-17,ACCT-002472,2026-08-16,2026-08-17,purchase,169.60,USD,completed,Globex Corp,,POS-WEST
TXN-00000388,BATCH-2026-08-17,ACCT-002258,2026-08-16,2026-08-17,purchase,20.37,USD,completed,Pied Piper Software,,ACH-BATCH
TXN-00001449,BATCH-2026-08-17,ACCT-003018,2026-08-17,2026-08-18,purchase,30.16,USD,completed,Globex Corp,,ONLINE-CHECKOUT
TXN-00001294,BATCH-2026-08-17,ACCT-001141,2026-08-16,2026-08-17,purchase,7.07,USD,completed,Hooli Cloud,,ONLINE-CHECKOUT
TXN-00000965,BATCH-2026-08-17,ACCT-003006,2026-08-16,2026-08-17,adjustment,66.38,USD,completed,Wonka Confections,,ONLINE-CHECKOUT
TXN-00000986,BATCH-2026-08-17,ACCT-000967,2026-08-17,2026-08-18,refund,-49.10,USD,completed,Contoso Retail,TXN-00000853,ACH-BATCH
TXN-00001437,BATCH-2026-08-17,ACCT-003447,2026-08-17,2026-08-17,refund,-34.94,USD,completed,Acme Wholesale,TXN-00001265,ACH-BATCH
TXN-00000636,BATCH-2026-08-17,ACCT-002699,2026-08-16,2026-08-17,purchase,8.66,USD,completed,Northwind Traders,,ACH-BATCH
TXN-00000460,BATCH-2026-08-17,ACCT-003219,2026-08-17,2026-08-19,transfer,60.06,USD,completed,Pied Piper Software,,POS-WEST
TXN-00000720,BATCH-2026-08-17,ACCT-002756,2026-08-16,2026-08-16,purchase,5.74,USD,completed,Wayne Hardware,,ACH-BATCH
